compound,auid,aurl,aurl_http,spacegroup_relax,Pearson_symbol_relax,species
C2,aflow:aa7e33425cdadd2b,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CZn/117/117.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CZn/117,194.0,hP2,['C']
C2,aflow:ac8418b75532392d,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCu_pv/A7.A/A7.A.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCu_pv/A7.A,227.0,cF8,['C']
C2,aflow:ace9ab8fea278ab5,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CHg/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CHg/305,227.0,cF8,['C']
C2,aflow:aec73b830d2aa8f0,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMn_pv/305/305.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CMn_pv/305,227.0,cF8,['C']
C1,aflow:aeebf5cd1c24a3e7,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CW_pv/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CW_pv/2,225.0,cF4,['C']
C1,aflow:ae670e50638e0874,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CY_sv/59/59.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CY_sv/59,229.0,cI2,['C']
C3,aflow:afb3aea5a6adea9a,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/BrC/324/324.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/BrC/324,191.0,hP1,['C']
C1,aflow:afd3b7f4ebf1ba12,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CPd_pv/2/2.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CPd_pv/2,225.0,cF4,['C']
C1,aflow:aff66268eabaa835,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CLi_sv/303/303.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CLi_sv/303,139.0,tI2,['C']
C8,aflow:b09fb2c5d1e939ca,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/ORCC/C1_ICSD_88816/C1_ICSD_88816.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/ORCC/C1_ICSD_88816,65.0,oS16,['C']
C1,aflow:b0c5773f7ff304be,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCd/59/59.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CCd/59,229.0,cI2,['C']
C4,aflow:b1eed27f4bab29d7,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/HEX/C1_ICSD_27422/C1_ICSD_27422.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/HEX/C1_ICSD_27422,194.0,hP4,['C']
C2,aflow:b27dfcf9dff75a12,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIn_d/301/301.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CIn_d/301,227.0,cF8,['C']
C4,aflow:b2688e84030188b8,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/BCT/C1_ICSD_182761/C1_ICSD_182761.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/BCT/C1_ICSD_182761,139.0,tI8,['C']
C2,aflow:b2b5b859afc1b43f,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/FCC/C1_ICSD_28861/C1_ICSD_28861.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/FCC/C1_ICSD_28861,227.0,cF8,['C']
C3,aflow:b2838b3456b6720c,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNi_pv/323/323.cif,https://aflowlib.duke.edu/AFLOWDATA/LIB2_RAW/CNi_pv/323,191.0,hP1,['C']
C1,aflow:b2f60933e997107f,https://aflowlib.duke.edu/01Apr2000/0/0.cif,https://aflowlib.duke.edu/01Apr2000/0,,,['C']
